id,user_id,repo_id,first_pr,first_commit,last_commit,active,length,frequency,diff,avg_commit_size,last_pr,first_pr_status,last_pr_status,commits_at_first_pr,more_than_a_year,total_commits,total_prs,total_adds,total_dels,first_issue_opened
39,39,1,2010-09-04 15:16:01 UTC,2010-07-08 15:26:03 UTC,2015-01-01 22:21:38 UTC,false,141548135.0,0.000000113035752820057,-5010598.0,16.1875,2015-01-01 22:22:28 UTC,0,0,1642,true,16,5,201,58,2010-07-05 19:56:43 UTC
45,45,1,2013-10-05 23:20:12 UTC,2013-10-05 23:19:57 UTC,2015-01-04 01:42:52 UTC,false,39320575.0,0.000000381479670630452,0.0,6.53333333333333,2014-11-24 22:53:35 UTC,0,0,4001,true,15,5,66,32,2013-10-05 23:03:15 UTC
48,48,1,"",2008-08-25 14:49:16 UTC,2008-09-14 23:01:37 UTC,"",1757541.0,0.00000739669800021735,"","","","","","","","","","","",2010-02-22 20:47:29 UTC
57,57,1,2018-03-14 21:39:20 UTC,2018-03-14 21:34:12 UTC,2018-03-16 11:58:59 UTC,false,138287.0,0.0000795447149768236,0.0,5.18181818181818,2018-03-15 21:25:44 UTC,0,0,9471,false,11,2,46,11,2018-03-14 21:32:32 UTC
63,63,2,2014-08-12 23:25:32 UTC,2004-11-24 01:04:44 UTC,2018-02-15 00:51:15 UTC,false,417397591.0,0.0000101414097524104,-306627648.0,96.1705646113867,2018-02-13 23:47:21 UTC,0,0,46338,true,4233,26,251966,155124,2011-05-11 19:48:35 UTC
66,6,2,2011-11-25 09:56:46 UTC,2008-05-16 17:10:30 UTC,2014-11-26 09:56:50 UTC,false,206037980.0,0.0000124879888649656,-111257176.0,124.087446560435,2014-08-16 20:29:32 UTC,0,0,26230,true,2573,6,162358,156919,2011-05-09 22:43:27 UTC
67,64,2,2011-05-02 22:00:55 UTC,2008-05-02 13:45:23 UTC,2018-04-19 16:44:18 UTC,true,314420335.0,0.00000696201789874691,-94637732.0,149.682046596619,2016-10-07 16:27:58 UTC,0,0,22223,true,2189,4,160253,167401,2011-09-03 21:42:26 UTC
72,68,2,2013-03-07 22:11:35 UTC,2013-03-07 22:49:03 UTC,2018-03-14 20:52:03 UTC,false,158364180.0,0.00000729963050987919,2248.0,69.2603806228374,2018-03-14 19:45:22 UTC,0,0,36136,true,1156,270,51448,28617,2014-07-11 14:17:52 UTC
36,36,1,2016-07-25 17:41:15 UTC,2016-07-25 17:27:46 UTC,2017-08-29 16:13:30 UTC,false,34555544.0,0.00000049196157930548,0.0,19.3529411764706,2017-08-29 16:24:33 UTC,0,0,7340,true,17,10,295,34,""
75,71,2,2011-02-10 19:25:20 UTC,2010-12-05 17:46:52 UTC,2017-08-26 16:41:32 UTC,false,212194480.0,0.00000499541741142371,-5794708.0,83.0603773584906,2012-04-17 20:48:38 UTC,0,0,20946,true,1060,45,52150,35894,2012-11-02 20:55:43 UTC
79,75,2,2011-04-25 01:22:00 UTC,2011-05-09 05:59:25 UTC,2018-04-20 17:17:15 UTC,true,219323870.0,0.00000355638444643531,1226245.0,67.1051282051282,2018-04-19 21:14:27 UTC,0,0,22033,true,780,192,34387,17955,2011-05-15 17:46:37 UTC
42,42,1,2014-01-21 12:19:48 UTC,2014-01-21 10:11:27 UTC,2014-02-21 08:12:56 UTC,false,2671289.0,0.00000561526663719276,0.0,34.4666666666667,2014-02-21 09:30:29 UTC,0,0,4313,false,15,4,269,248,""
82,50,2,2011-02-07 00:15:43 UTC,2008-09-09 07:26:22 UTC,2018-02-10 17:19:41 UTC,false,297337999.0,0.00000216588529608017,-76092561.0,21.7484472049689,2017-06-30 06:42:46 UTC,0,0,20883,true,644,104,7249,6757,2011-05-31 08:24:25 UTC
87,82,2,2010-09-15 13:45:59 UTC,2008-05-14 09:22:39 UTC,2011-04-15 02:00:28 UTC,false,92075869.0,0.00000512620738882193,-73801400.0,327.697033898305,2011-04-15 02:09:15 UTC,0,0,18463,true,472,14,87504,67169,2012-07-06 15:31:18 UTC
49,49,1,2013-06-25 18:21:48 UTC,2013-06-25 18:15:05 UTC,2013-07-02 20:59:27 UTC,false,614662.0,0.0000211498351939765,0.0,10.0,2013-06-28 19:46:10 UTC,0,0,3753,false,13,4,72,58,""
88,83,2,2013-03-19 17:34:21 UTC,2013-03-19 17:40:54 UTC,2018-04-03 09:49:57 UTC,true,159034143.0,0.00000294276430942254,393.0,14.3226495726496,2018-04-03 09:51:34 UTC,0,0,36427,true,468,333,4200,2503,2013-07-22 02:55:17 UTC
51,51,1,2011-04-23 11:11:11 UTC,2011-04-23 11:08:27 UTC,2011-12-07 21:48:54 UTC,false,19737627.0,0.00000060797582201751,0.0,35.9166666666667,2011-05-20 14:16:03 UTC,0,0,2066,false,12,3,291,140,""
90,85,2,2014-01-07 23:59:57 UTC,2006-03-05 23:41:17 UTC,2010-04-30 14:46:30 UTC,false,131036713.0,0.0000035180980157828,-247537120.0,162.600867678959,2014-01-07 23:59:57 UTC,0,"",42001,true,461,1,53198,21761,2012-03-20 17:44:46 UTC
41,41,1,"",2008-07-31 04:25:42 UTC,2009-02-05 01:14:39 UTC,"",16318137.0,0.000000919222580371767,"","","","","","","","","","","",""
93,9,2,"",2008-05-13 06:41:43 UTC,2013-05-12 05:49:58 UTC,"",157676895.0,0.00000273343789526043,"","","","","","","","","","","",2018-02-27 22:06:39 UTC
96,88,2,2013-05-31 15:45:40 UTC,2013-09-25 18:24:27 UTC,2017-07-14 19:02:30 UTC,false,119925483.0,0.00000317697282069733,10118327.0,20.8818897637795,2017-08-25 18:09:25 UTC,0,0,37952,true,381,128,5081,2875,2014-01-30 03:49:43 UTC
97,89,2,2012-05-21 08:01:23 UTC,2012-05-21 21:57:04 UTC,2018-04-12 05:54:20 UTC,true,185875036.0,0.00000192064522317026,50141.0,32.5742296918768,2018-04-12 04:47:52 UTC,0,0,30717,true,357,81,8200,3429,2012-05-21 05:27:29 UTC
